ID,Tanggal,Value
UDR101E,2025-04-25 11:00:00Z,76
UDR101E,2025-04-25 12:00:00Z,76
UDR101E,2025-04-25 13:00:00Z,78
UDR101E,2025-04-25 14:00:00Z,79
UDR101E,2025-04-25 15:00:00Z,79
UDR101E,2025-04-25 16:00:00Z,80
UDR101E,2025-04-25 17:00:00Z,80
UDR101E,2025-04-25 18:00:00Z,80
UDR101E,2025-04-25 19:00:00Z,79
UDR101E,2025-04-25 20:00:00Z,78
UDR101E,2025-04-25 21:00:00Z,76
UDR101E,2025-04-25 22:00:00Z,74
UDR101E,2025-04-25 23:00:00Z,71
UDR101E,2025-04-26 00:00:00Z,70
UDR101E,2025-04-26 01:00:00Z,69
UDR101E,2025-04-26 02:00:00Z,69
UDR101E,2025-04-26 03:00:00Z,70
UDR101E,2025-04-26 04:00:00Z,71
UDR101E,2025-04-26 05:00:00Z,73
UDR101E,2025-04-26 06:00:00Z,74
UDR101E,2025-04-26 07:00:00Z,75
UDR101E,2025-04-26 08:00:00Z,76
UDR101E,2025-04-26 09:00:00Z,78
UDR101E,2025-04-26 10:00:00Z,78
UDR101E,2025-04-26 11:00:00Z,76
UDR101E,2025-04-26 12:00:00Z,76
UDR101E,2025-04-26 13:00:00Z,78
UDR101E,2025-04-26 14:00:00Z,78
UDR101E,2025-04-26 15:00:00Z,79
UDR101E,2025-04-26 16:00:00Z,78
UDR101E,2025-04-26 17:00:00Z,79
UDR101E,2025-04-26 18:00:00Z,79
UDR101E,2025-04-26 19:00:00Z,79
UDR101E,2025-04-26 20:00:00Z,80
UDR101E,2025-04-26 21:00:00Z,81
UDR101E,2025-04-26 22:00:00Z,80
UDR101E,2025-04-26 23:00:00Z,79
UDR101E,2025-04-27 00:00:00Z,79
UDR101E,2025-04-27 01:00:00Z,79
UDR101E,2025-04-27 02:00:00Z,80
UDR101E,2025-04-27 03:00:00Z,80
UDR101E,2025-04-27 04:00:00Z,81
UDR101E,2025-04-27 05:00:00Z,81
UDR101E,2025-04-27 06:00:00Z,81
UDR101E,2025-04-27 07:00:00Z,80
UDR101E,2025-04-27 08:00:00Z,80
UDR101E,2025-04-27 09:00:00Z,80
UDR101E,2025-04-27 10:00:00Z,81
UDR0C5A,2025-04-25 09:00:00Z,61
UDR0C5A,2025-04-25 10:00:00Z,61
UDR0C5A,2025-04-25 11:00:00Z,61
UDR0C5A,2025-04-25 14:00:00Z,64
UDR0C5A,2025-04-25 16:00:00Z,64
UDR0C5A,2025-04-25 18:00:00Z,65
UDR0C5A,2025-04-25 19:00:00Z,65
UDR0C5A,2025-04-25 20:00:00Z,65
UDR0C5A,2025-04-25 21:00:00Z,65
UDR0C5A,2025-04-25 22:00:00Z,65
UDR0C5A,2025-04-25 23:00:00Z,66
UDR0C5A,2025-04-26 00:00:00Z,66
UDR0C5A,2025-04-26 01:00:00Z,68
UDR0C5A,2025-04-26 02:00:00Z,66
UDR0C5A,2025-04-26 03:00:00Z,66
UDR0C5A,2025-04-26 04:00:00Z,66
UDR0C5A,2025-04-26 05:00:00Z,66
UDR0C5A,2025-04-26 06:00:00Z,65
UDR0C5A,2025-04-26 07:00:00Z,65
UDR0C5A,2025-04-26 08:00:00Z,64
UDR0C5A,2025-04-26 09:00:00Z,63
UDR0C5A,2025-04-26 10:00:00Z,64
UDR0C5A,2025-04-26 11:00:00Z,64
UDR0C5A,2025-04-26 12:00:00Z,64
UDR0C5A,2025-04-26 13:00:00Z,65
UDR0C5A,2025-04-26 14:00:00Z,65
UDR0C5A,2025-04-26 21:00:00Z,69
UDR0C5A,2025-04-26 23:00:00Z,68
UDR0C5A,2025-04-27 01:00:00Z,68
UDR0C5A,2025-04-27 02:00:00Z,69
UDR0C5A,2025-04-27 03:00:00Z,70
UDR0C5A,2025-04-27 04:00:00Z,70
UDR0C5A,2025-04-27 06:00:00Z,73
UDR0C5A,2025-04-27 07:00:00Z,74
UDR0C5A,2025-04-27 08:00:00Z,75
UDR8F64,2024-11-11 04:00:00Z,85
UDR8F64,2024-11-11 05:00:00Z,84
UDR8F64,2024-11-11 06:00:00Z,83
UDR8F64,2024-11-11 07:00:00Z,81
UDR8F64,2024-11-11 08:00:00Z,80
UDR8F64,2024-11-11 09:00:00Z,80
