ID,Tanggal,Value
UDR101E,2025-05-03 11:00:00Z,79
UDR101E,2025-05-03 12:00:00Z,79
UDR101E,2025-05-03 13:00:00Z,79
UDR101E,2025-05-03 14:00:00Z,79
UDR101E,2025-05-03 15:00:00Z,79
UDR101E,2025-05-03 16:00:00Z,79
UDR101E,2025-05-03 17:00:00Z,78
UDR101E,2025-05-03 18:00:00Z,79
UDR101E,2025-05-03 19:00:00Z,78
UDR101E,2025-05-03 20:00:00Z,76
UDR101E,2025-05-03 21:00:00Z,79
UDR101E,2025-05-03 22:00:00Z,80
UDR101E,2025-05-03 23:00:00Z,81
UDR101E,2025-05-04 00:00:00Z,81
UDR101E,2025-05-04 01:00:00Z,83
UDR101E,2025-05-04 02:00:00Z,83
UDR101E,2025-05-04 03:00:00Z,81
UDR101E,2025-05-04 04:00:00Z,81
UDR101E,2025-05-04 05:00:00Z,83
UDR101E,2025-05-04 06:00:00Z,83
UDR101E,2025-05-04 07:00:00Z,81
UDR101E,2025-05-04 08:00:00Z,79
UDR101E,2025-05-04 09:00:00Z,76
UDR101E,2025-05-04 10:00:00Z,75
UDR101E,2025-05-04 11:00:00Z,74
UDR101E,2025-05-04 12:00:00Z,74
UDR101E,2025-05-04 13:00:00Z,73
UDR101E,2025-05-04 14:00:00Z,73
UDR101E,2025-05-04 15:00:00Z,71
UDR101E,2025-05-04 16:00:00Z,71
UDR101E,2025-05-04 17:00:00Z,71
UDR101E,2025-05-04 18:00:00Z,71
UDR101E,2025-05-04 19:00:00Z,73
UDR101E,2025-05-04 20:00:00Z,74
UDR101E,2025-05-04 21:00:00Z,74
UDR101E,2025-05-04 22:00:00Z,74
UDR101E,2025-05-04 23:00:00Z,75
UDR101E,2025-05-05 00:00:00Z,79
UDR101E,2025-05-05 01:00:00Z,80
UDR101E,2025-05-05 02:00:00Z,83
UDR101E,2025-05-05 03:00:00Z,85
UDR101E,2025-05-05 04:00:00Z,88
UDR101E,2025-05-05 05:00:00Z,89
UDR101E,2025-05-05 06:00:00Z,90
UDR101E,2025-05-05 07:00:00Z,94
UDR101E,2025-05-05 08:00:00Z,96
UDR101E,2025-05-05 09:00:00Z,99
UDR101E,2025-05-05 10:00:00Z,100
UDR0C5A,2025-05-03 11:00:00Z,83
UDR0C5A,2025-05-03 14:00:00Z,83
UDR0C5A,2025-05-03 18:00:00Z,80
UDR0C5A,2025-05-03 19:00:00Z,79
UDR0C5A,2025-05-03 20:00:00Z,79
UDR0C5A,2025-05-03 21:00:00Z,79
UDR0C5A,2025-05-03 22:00:00Z,79
UDR0C5A,2025-05-03 23:00:00Z,79
UDR0C5A,2025-05-04 00:00:00Z,79
UDR0C5A,2025-05-04 01:00:00Z,80
UDR0C5A,2025-05-04 02:00:00Z,81
UDR0C5A,2025-05-04 03:00:00Z,81
UDR0C5A,2025-05-04 04:00:00Z,81
UDR0C5A,2025-05-04 05:00:00Z,81
UDR0C5A,2025-05-04 06:00:00Z,81
UDR0C5A,2025-05-04 07:00:00Z,81
UDR0C5A,2025-05-04 08:00:00Z,80
UDR0C5A,2025-05-04 09:00:00Z,79
UDR0C5A,2025-05-04 10:00:00Z,76
UDR0C5A,2025-05-04 11:00:00Z,76
UDR0C5A,2025-05-04 12:00:00Z,75
UDR0C5A,2025-05-04 13:00:00Z,74
UDR0C5A,2025-05-04 14:00:00Z,73
UDR0C5A,2025-05-04 15:00:00Z,71
UDR0C5A,2025-05-04 16:00:00Z,71
UDR0C5A,2025-05-04 17:00:00Z,71
UDR0C5A,2025-05-04 18:00:00Z,73
UDR0C5A,2025-05-04 19:00:00Z,74
UDR0C5A,2025-05-04 20:00:00Z,74
UDR0C5A,2025-05-04 21:00:00Z,75
UDR0C5A,2025-05-04 22:00:00Z,75
UDR0C5A,2025-05-04 23:00:00Z,76
UDR0C5A,2025-05-05 00:00:00Z,78
UDR0C5A,2025-05-05 01:00:00Z,79
UDR0C5A,2025-05-05 02:00:00Z,80
UDR0C5A,2025-05-05 03:00:00Z,83
UDR0C5A,2025-05-05 04:00:00Z,86
UDR0C5A,2025-05-05 05:00:00Z,88
UDR0C5A,2025-05-05 06:00:00Z,89
UDR0C5A,2025-05-05 07:00:00Z,90
UDR0C5A,2025-05-05 08:00:00Z,93
UDR0C5A,2025-05-05 09:00:00Z,96
UDR0C5A,2025-05-05 10:00:00Z,98
UDR8F64,2024-11-11 04:00:00Z,85
UDR8F64,2024-11-11 05:00:00Z,84
UDR8F64,2024-11-11 06:00:00Z,83
UDR8F64,2024-11-11 07:00:00Z,81
UDR8F64,2024-11-11 08:00:00Z,80
UDR8F64,2024-11-11 09:00:00Z,80
UDR8F64,2024-11-11 10:00:00Z,79
UDR8F64,2024-11-11 11:00:00Z,78
UDR8F64,2024-11-11 12:00:00Z,78
