ID,Tanggal,Value
UDR101E,2025-04-27 11:00:00Z,81
UDR101E,2025-04-27 12:00:00Z,81
UDR101E,2025-04-27 13:00:00Z,80
UDR101E,2025-04-27 14:00:00Z,80
UDR101E,2025-04-27 15:00:00Z,80
UDR101E,2025-04-27 16:00:00Z,80
UDR101E,2025-04-27 17:00:00Z,79
UDR101E,2025-04-27 18:00:00Z,79
UDR101E,2025-04-27 19:00:00Z,78
UDR101E,2025-04-27 20:00:00Z,76
UDR101E,2025-04-27 21:00:00Z,75
UDR101E,2025-04-27 22:00:00Z,75
UDR101E,2025-04-27 23:00:00Z,75
UDR101E,2025-04-28 00:00:00Z,75
UDR101E,2025-04-28 01:00:00Z,74
UDR101E,2025-04-28 02:00:00Z,73
UDR101E,2025-04-28 03:00:00Z,71
UDR101E,2025-04-28 04:00:00Z,71
UDR101E,2025-04-28 05:00:00Z,71
UDR101E,2025-04-28 06:00:00Z,71
UDR101E,2025-04-28 07:00:00Z,71
UDR101E,2025-04-28 08:00:00Z,73
UDR101E,2025-04-28 09:00:00Z,74
UDR101E,2025-04-28 10:00:00Z,74
UDR101E,2025-04-28 11:00:00Z,74
UDR101E,2025-04-28 12:00:00Z,74
UDR101E,2025-04-28 13:00:00Z,74
UDR101E,2025-04-28 14:00:00Z,73
UDR101E,2025-04-28 15:00:00Z,73
UDR101E,2025-04-28 16:00:00Z,71
UDR101E,2025-04-28 17:00:00Z,71
UDR101E,2025-04-28 18:00:00Z,71
UDR101E,2025-04-28 19:00:00Z,71
UDR101E,2025-04-28 20:00:00Z,71
UDR101E,2025-04-28 21:00:00Z,71
UDR101E,2025-04-28 22:00:00Z,73
UDR101E,2025-04-28 23:00:00Z,75
UDR101E,2025-04-29 00:00:00Z,76
UDR101E,2025-04-29 01:00:00Z,78
UDR101E,2025-04-29 02:00:00Z,79
UDR101E,2025-04-29 03:00:00Z,81
UDR101E,2025-04-29 04:00:00Z,81
UDR101E,2025-04-29 05:00:00Z,83
UDR101E,2025-04-29 06:00:00Z,84
UDR101E,2025-04-29 07:00:00Z,85
UDR101E,2025-04-29 08:00:00Z,85
UDR101E,2025-04-29 09:00:00Z,85
UDR101E,2025-04-29 10:00:00Z,85
UDR0C5A,2025-04-27 13:00:00Z,78
UDR0C5A,2025-04-27 15:00:00Z,76
UDR0C5A,2025-04-27 16:00:00Z,75
UDR0C5A,2025-04-27 18:00:00Z,73
UDR0C5A,2025-04-27 19:00:00Z,73
