ID,Tanggal,Value
UDR101E,2025-04-12 14:00:00Z,89
UDR101E,2025-04-12 15:00:00Z,88
UDR101E,2025-04-12 16:00:00Z,86
UDR101E,2025-04-12 17:00:00Z,86
UDR101E,2025-04-12 18:00:00Z,85
UDR101E,2025-04-12 19:00:00Z,83
UDR101E,2025-04-12 20:00:00Z,84
UDR101E,2025-04-12 21:00:00Z,85
UDR101E,2025-04-12 22:00:00Z,86
UDR101E,2025-04-12 23:00:00Z,86
UDR101E,2025-04-13 00:00:00Z,85
UDR101E,2025-04-13 01:00:00Z,85
UDR101E,2025-04-13 02:00:00Z,86
UDR101E,2025-04-13 03:00:00Z,86
UDR101E,2025-04-13 04:00:00Z,86
UDR101E,2025-04-13 05:00:00Z,85
UDR101E,2025-04-13 06:00:00Z,85
UDR101E,2025-04-13 07:00:00Z,85
UDR101E,2025-04-13 08:00:00Z,84
UDR101E,2025-04-13 09:00:00Z,83
UDR101E,2025-04-13 10:00:00Z,84
UDR101E,2025-04-13 11:00:00Z,84
UDR101E,2025-04-13 12:00:00Z,84
UDR101E,2025-04-13 13:00:00Z,84
UDR101E,2025-04-13 14:00:00Z,84
UDR101E,2025-04-13 15:00:00Z,85
UDR101E,2025-04-13 16:00:00Z,85
UDR101E,2025-04-13 17:00:00Z,85
UDR101E,2025-04-13 18:00:00Z,85
UDR101E,2025-04-13 19:00:00Z,85
UDR101E,2025-04-13 20:00:00Z,83
UDR101E,2025-04-13 21:00:00Z,81
UDR101E,2025-04-13 22:00:00Z,79
UDR101E,2025-04-13 23:00:00Z,75
UDR101E,2025-04-14 00:00:00Z,74
UDR101E,2025-04-14 01:00:00Z,71
UDR101E,2025-04-14 02:00:00Z,70
UDR101E,2025-04-14 03:00:00Z,68
UDR101E,2025-04-14 04:00:00Z,65
UDR101E,2025-04-14 05:00:00Z,64
UDR101E,2025-04-14 06:00:00Z,61
UDR101E,2025-04-14 07:00:00Z,60
UDR101E,2025-04-14 08:00:00Z,59
UDR101E,2025-04-14 09:00:00Z,58
UDR101E,2025-04-14 10:00:00Z,56
UDR101E,2025-04-14 11:00:00Z,55
UDR101E,2025-04-14 12:00:00Z,54
UDR101E,2025-04-14 13:00:00Z,53
UDR0C5A,2025-04-12 17:00:00Z,81
UDR0C5A,2025-04-12 18:00:00Z,81
UDR0C5A,2025-04-12 19:00:00Z,80
UDR0C5A,2025-04-12 20:00:00Z,80
UDR0C5A,2025-04-12 22:00:00Z,79
UDR0C5A,2025-04-12 23:00:00Z,78
UDR0C5A,2025-04-13 00:00:00Z,76
UDR0C5A,2025-04-13 03:00:00Z,71
UDR0C5A,2025-04-13 04:00:00Z,70
UDR0C5A,2025-04-13 05:00:00Z,70
UDR0C5A,2025-04-13 06:00:00Z,69
UDR0C5A,2025-04-13 07:00:00Z,68
UDR0C5A,2025-04-13 08:00:00Z,69
UDR0C5A,2025-04-13 09:00:00Z,70
UDR0C5A,2025-04-13 10:00:00Z,70
UDR0C5A,2025-04-13 11:00:00Z,71
UDR0C5A,2025-04-13 12:00:00Z,71
UDR0C5A,2025-04-13 13:00:00Z,73
UDR0C5A,2025-04-13 14:00:00Z,73
UDR0C5A,2025-04-13 15:00:00Z,71
UDR0C5A,2025-04-13 16:00:00Z,71
UDR0C5A,2025-04-13 17:00:00Z,70
UDR0C5A,2025-04-13 19:00:00Z,69
UDR0C5A,2025-04-13 20:00:00Z,68
UDR0C5A,2025-04-13 21:00:00Z,66
UDR0C5A,2025-04-13 22:00:00Z,65
UDR0C5A,2025-04-13 23:00:00Z,64
UDR0C5A,2025-04-14 00:00:00Z,63
UDR0C5A,2025-04-14 01:00:00Z,61
UDR0C5A,2025-04-14 02:00:00Z,61
UDR0C5A,2025-04-14 03:00:00Z,60
UDR0C5A,2025-04-14 04:00:00Z,59
UDR0C5A,2025-04-14 05:00:00Z,58
UDR0C5A,2025-04-14 06:00:00Z,55
UDR0C5A,2025-04-14 07:00:00Z,54
UDR0C5A,2025-04-14 08:00:00Z,51
UDR0C5A,2025-04-14 09:00:00Z,50
UDR0C5A,2025-04-14 10:00:00Z,15
UDR0C5A,2025-04-14 11:00:00Z,13
UDR0C5A,2025-04-14 12:00:00Z,12
UDR8F64,2024-11-11 04:00:00Z,85
UDR8F64,2024-11-11 05:00:00Z,84
UDR8F64,2024-11-11 06:00:00Z,83
UDR8F64,2024-11-11 07:00:00Z,81
UDR8F64,2024-11-11 08:00:00Z,80
UDR8F64,2024-11-11 09:00:00Z,80
UDR8F64,2024-11-11 10:00:00Z,79
UDR8F64,2024-11-11 11:00:00Z,78
UDR8F64,2024-11-11 12:00:00Z,78
UDR8F64,2024-11-11 13:00:00Z,79
UDR8F64,2024-11-11 14:00:00Z,79
UDR8F64,2024-11-11 15:00:00Z,79
UDR8F64,2024-11-11 16:00:00Z,78
UDR8F64,2024-11-11 17:00:00Z,76
UDR8F64,2024-11-11 18:00:00Z,78
UDR8F64,2024-11-11 19:00:00Z,76
UDR8F64,2024-11-11 20:00:00Z,76
UDR8F64,2024-11-11 21:00:00Z,75
UDR8F64,2024-11-11 22:00:00Z,76
UDR8F64,2024-11-11 23:00:00Z,75
UDR8F64,2024-11-12 00:00:00Z,73
UDR8F64,2024-11-12 01:00:00Z,71
UDR8F64,2024-11-12 02:00:00Z,71
UDR8F64,2024-11-12 03:00:00Z,70
UDR8F64,2024-11-12 04:00:00Z,70
UDR8F64,2024-11-12 05:00:00Z,69
UDR8F64,2024-11-12 06:00:00Z,69
UDR8F64,2024-11-12 07:00:00Z,70
UDR8F64,2024-11-12 08:00:00Z,70
UDR8F64,2024-11-12 09:00:00Z,69
UDR8F64,2024-11-12 10:00:00Z,69
UDR8F64,2024-11-12 11:00:00Z,69
UDR8F64,2024-11-12 12:00:00Z,68
UDR8F64,2024-11-12 13:00:00Z,66
UDR8F64,2024-11-12 14:00:00Z,65
UDR8F64,2024-11-12 15:00:00Z,64
UDR8F64,2024-11-12 16:00:00Z,64
UDR8F64,2024-11-12 17:00:00Z,64
UDR8F64,2024-11-12 18:00:00Z,65
UDR8F64,2024-11-12 19:00:00Z,65
UDR8F64,2024-11-12 20:00:00Z,66
UDR8F64,2024-11-12 21:00:00Z,68
UDR8F64,2024-11-12 22:00:00Z,69
UDR8F64,2024-11-12 23:00:00Z,70
UDR8F64,2024-11-13 00:00:00Z,71
UDR8F64,2024-11-13 01:00:00Z,74
UDR8F64,2024-11-13 02:00:00Z,75
UDR8F64,2024-11-13 03:00:00Z,79
UDR7567,2025-04-12 14:00:00Z,80
UDR7567,2025-04-12 15:00:00Z,79
UDR7567,2025-04-12 16:00:00Z,78
UDR7567,2025-04-13 10:00:00Z,69
UDR7567,2025-04-13 11:00:00Z,69
