ID,Tanggal,Value
UDR101E,2025-04-23 11:00:00Z,100
UDR101E,2025-04-23 12:00:00Z,98
UDR101E,2025-04-23 13:00:00Z,95
UDR101E,2025-04-23 14:00:00Z,94
UDR101E,2025-04-23 15:00:00Z,93
UDR101E,2025-04-23 16:00:00Z,93
UDR101E,2025-04-23 17:00:00Z,93
UDR101E,2025-04-23 18:00:00Z,93
UDR101E,2025-04-23 19:00:00Z,93
UDR101E,2025-04-23 20:00:00Z,91
UDR101E,2025-04-23 21:00:00Z,90
UDR101E,2025-04-23 22:00:00Z,89
UDR101E,2025-04-23 23:00:00Z,86
UDR101E,2025-04-24 00:00:00Z,85
UDR101E,2025-04-24 01:00:00Z,79
UDR101E,2025-04-24 02:00:00Z,74
UDR101E,2025-04-24 03:00:00Z,69
UDR101E,2025-04-24 04:00:00Z,64
UDR101E,2025-04-24 05:00:00Z,60
UDR101E,2025-04-24 06:00:00Z,58
UDR101E,2025-04-24 07:00:00Z,58
UDR101E,2025-04-24 08:00:00Z,56
UDR101E,2025-04-24 09:00:00Z,55
UDR101E,2025-04-24 10:00:00Z,54
UDR101E,2025-04-24 11:00:00Z,53
UDR101E,2025-04-24 12:00:00Z,53
UDR101E,2025-04-24 13:00:00Z,53
UDR101E,2025-04-24 14:00:00Z,51
UDR101E,2025-04-24 15:00:00Z,53
UDR101E,2025-04-24 16:00:00Z,51
UDR101E,2025-04-24 17:00:00Z,51
UDR101E,2025-04-24 18:00:00Z,53
UDR101E,2025-04-24 19:00:00Z,54
UDR101E,2025-04-24 20:00:00Z,56
UDR101E,2025-04-24 21:00:00Z,58
UDR101E,2025-04-24 23:00:00Z,66
UDR101E,2025-04-25 00:00:00Z,68
UDR101E,2025-04-25 01:00:00Z,70
UDR101E,2025-04-25 02:00:00Z,71
UDR101E,2025-04-25 03:00:00Z,73
UDR101E,2025-04-25 04:00:00Z,73
UDR101E,2025-04-25 05:00:00Z,74
UDR101E,2025-04-25 06:00:00Z,73
UDR101E,2025-04-25 07:00:00Z,74
UDR101E,2025-04-25 08:00:00Z,74
UDR101E,2025-04-25 09:00:00Z,75
UDR101E,2025-04-25 10:00:00Z,75
UDR0C5A,2025-04-23 12:00:00Z,70
UDR0C5A,2025-04-23 13:00:00Z,68
UDR0C5A,2025-04-23 23:00:00Z,59
UDR0C5A,2025-04-24 00:00:00Z,58
UDR0C5A,2025-04-24 02:00:00Z,51
UDR0C5A,2025-04-24 03:00:00Z,50
UDR0C5A,2025-04-24 04:00:00Z,48
UDR0C5A,2025-04-24 05:00:00Z,45
UDR0C5A,2025-04-24 06:00:00Z,38
UDR0C5A,2025-04-24 08:00:00Z,38
UDR0C5A,2025-04-24 09:00:00Z,35
UDR0C5A,2025-04-24 10:00:00Z,35
UDR0C5A,2025-04-24 11:00:00Z,35
UDR0C5A,2025-04-24 12:00:00Z,35
UDR0C5A,2025-04-24 13:00:00Z,35
UDR0C5A,2025-04-24 16:00:00Z,38
UDR0C5A,2025-04-24 17:00:00Z,38
UDR0C5A,2025-04-24 18:00:00Z,41
UDR0C5A,2025-04-24 20:00:00Z,41
UDR0C5A,2025-04-24 21:00:00Z,45
UDR0C5A,2025-04-24 23:00:00Z,45
UDR0C5A,2025-04-25 00:00:00Z,48
UDR0C5A,2025-04-25 01:00:00Z,50
UDR0C5A,2025-04-25 02:00:00Z,51
UDR0C5A,2025-04-25 03:00:00Z,51
UDR0C5A,2025-04-25 04:00:00Z,53
UDR0C5A,2025-04-25 05:00:00Z,55
UDR0C5A,2025-04-25 06:00:00Z,58
UDR0C5A,2025-04-25 07:00:00Z,58
UDR0C5A,2025-04-25 08:00:00Z,60
UDR0C5A,2025-04-25 09:00:00Z,61
UDR0C5A,2025-04-25 10:00:00Z,61
UDR8F64,2024-11-11 04:00:00Z,85
UDR8F64,2024-11-11 05:00:00Z,84
UDR8F64,2024-11-11 06:00:00Z,83
UDR8F64,2024-11-11 07:00:00Z,81
UDR8F64,2024-11-11 08:00:00Z,80
UDR8F64,2024-11-11 09:00:00Z,80
UDR8F64,2024-11-11 10:00:00Z,79
UDR8F64,2024-11-11 11:00:00Z,78
UDR8F64,2024-11-11 12:00:00Z,78
UDR8F64,2024-11-11 13:00:00Z,79
UDR8F64,2024-11-11 14:00:00Z,79
UDR8F64,2024-11-11 15:00:00Z,79
UDR8F64,2024-11-11 16:00:00Z,78
UDR8F64,2024-11-11 17:00:00Z,76
UDR8F64,2024-11-11 18:00:00Z,78
UDR8F64,2024-11-11 19:00:00Z,76
UDR8F64,2024-11-11 20:00:00Z,76
UDR8F64,2024-11-11 21:00:00Z,75
UDR8F64,2024-11-11 22:00:00Z,76
UDR8F64,2024-11-11 23:00:00Z,75
UDR8F64,2024-11-12 00:00:00Z,73
UDR8F64,2024-11-12 01:00:00Z,71
UDR8F64,2024-11-12 02:00:00Z,71
UDR8F64,2024-11-12 03:00:00Z,70
UDR8F64,2024-11-12 04:00:00Z,70
UDR8F64,2024-11-12 05:00:00Z,69
UDR8F64,2024-11-12 06:00:00Z,69
UDR8F64,2024-11-12 07:00:00Z,70
UDR8F64,2024-11-12 08:00:00Z,70
UDR8F64,2024-11-12 09:00:00Z,69
UDR8F64,2024-11-12 10:00:00Z,69
UDR8F64,2024-11-12 11:00:00Z,69
UDR8F64,2024-11-12 12:00:00Z,68
UDR8F64,2024-11-12 13:00:00Z,66
UDR8F64,2024-11-12 14:00:00Z,65
UDR8F64,2024-11-12 15:00:00Z,64
UDR8F64,2024-11-12 16:00:00Z,64
UDR8F64,2024-11-12 17:00:00Z,64
UDR8F64,2024-11-12 18:00:00Z,65
UDR8F64,2024-11-12 19:00:00Z,65
UDR8F64,2024-11-12 20:00:00Z,66
UDR8F64,2024-11-12 21:00:00Z,68
UDR8F64,2024-11-12 22:00:00Z,69
UDR8F64,2024-11-12 23:00:00Z,70
UDR8F64,2024-11-13 00:00:00Z,71
UDR8F64,2024-11-13 01:00:00Z,74
UDR8F64,2024-11-13 02:00:00Z,75
UDR8F64,2024-11-13 03:00:00Z,79
UDR7567,2025-04-23 20:00:00Z,67
UDR7567,2025-04-23 21:00:00Z,64
UDR7567,2025-04-23 22:00:00Z,63
UDR7567,2025-04-23 23:00:00Z,62
UDR7567,2025-04-24 03:00:00Z,54
UDR7567,2025-04-25 10:00:00Z,55
UDR7961,2025-04-23 20:00:00Z,80
UDR7961,2025-04-23 21:00:00Z,77
UDR7961,2025-04-23 22:00:00Z,75
UDR7961,2025-04-23 23:00:00Z,74
UDR7961,2025-04-24 03:00:00Z,61
UDR7961,2025-04-25 10:00:00Z,73
UDRD1EC,2025-04-23 20:00:00Z,79
UDRD1EC,2025-04-23 21:00:00Z,77
UDRD1EC,2025-04-23 22:00:00Z,75
UDRD1EC,2025-04-23 23:00:00Z,74
UDRD1EC,2025-04-24 03:00:00Z,70
UDRD1EC,2025-04-25 10:00:00Z,60
UDR8233,2025-04-23 20:00:00Z,0
UDR8233,2025-04-23 21:00:00Z,0
UDR8233,2025-04-23 22:00:00Z,0
UDR8233,2025-04-23 23:00:00Z,0
UDR8233,2025-04-24 03:00:00Z,61
UDR8233,2025-04-25 10:00:00Z,88
UDR90B9,2025-04-23 20:00:00Z,72
UDR90B9,2025-04-23 21:00:00Z,70
UDR90B9,2025-04-23 22:00:00Z,68
UDR90B9,2025-04-23 23:00:00Z,66
UDR90B9,2025-04-24 03:00:00Z,57
UDR90B9,2025-04-25 10:00:00Z,77
UDRB4F7,2025-04-23 12:00:00Z,67
UDRB4F7,2025-04-23 13:00:00Z,66
UDRB4F7,2025-04-23 14:00:00Z,65
UDRB4F7,2025-04-23 15:00:00Z,64
UDRB4F7,2025-04-23 16:00:00Z,64
UDRB4F7,2025-04-23 17:00:00Z,65
UDRB4F7,2025-04-23 18:00:00Z,65
UDRB4F7,2025-04-23 19:00:00Z,64
UDRB4F7,2025-04-23 20:00:00Z,63
UDRB4F7,2025-04-23 21:00:00Z,61
UDRB4F7,2025-04-23 22:00:00Z,59
UDRB4F7,2025-04-23 23:00:00Z,58
UDRB4F7,2025-04-24 00:00:00Z,57
UDRB4F7,2025-04-24 01:00:00Z,54
UDRB4F7,2025-04-24 02:00:00Z,47
UDRB4F7,2025-04-24 03:00:00Z,41
